"N","p1","delta","est","s.e.","QL","QU"
900,0.4,0.1,-0.548277655063654,0.141199091841733,-0.819030588807351,-0.270390837156019
950,0.4,0.1,-0.1617382394192,0.134418973398494,-0.41987983697292,0.102122327631513
1000,0.4,0.1,-0.202025913579702,0.129526914453423,-0.448470409485988,0.0566917250439906
900,0.45,0.1,-0.455069604869841,0.137582258115814,-0.726026532238351,-0.184020354882167
950,0.45,0.1,-0.39039544804884,0.130663282866184,-0.652703137252732,-0.128567850813035
1000,0.45,0.1,-0.526441560232284,0.126036115473193,-0.777570183739443,-0.280377281696182
900,0.5,0.1,-0.555995024149636,0.14066781631117,-0.826830060325806,-0.283621998435777
950,0.5,0.1,-0.379722301175742,0.133668810480177,-0.635370683343313,-0.116935903216249
1000,0.5,0.1,-0.518466802579043,0.129323874667641,-0.778029123495439,-0.270724451578432
900,0.4,0.11,-0.306910959783183,0.145219995641743,-0.610200392554283,-0.0275719996064578
950,0.4,0.11,-0.303985916002074,0.136474420105955,-0.560207763892518,-0.0360924167001066
1000,0.4,0.11,-0.685877620557177,0.135288470555251,-0.95780270534261,-0.415412902437146
900,0.45,0.11,-0.36226413243543,0.139821390321684,-0.634051329538953,-0.0926533153639147
950,0.45,0.11,-0.383939344779976,0.138512601782566,-0.654429403194564,-0.111667475006251
1000,0.45,0.11,-0.323262203442893,0.130734197300682,-0.581249077574376,-0.0594877737471746
900,0.5,0.11,-0.581113356251274,0.14054935554717,-0.854402675837553,-0.300393192009981
950,0.5,0.11,-0.28172648370553,0.13069836469044,-0.540929780141668,-0.0205419505317714
1000,0.5,0.11,-0.363126857065404,0.126084912976788,-0.606443148336824,-0.119678764545884
900,0.4,0.12,-0.441501693280355,0.145666416698203,-0.733030376381239,-0.163047101475237
950,0.4,0.12,-0.622261798516584,0.137682351320174,-0.886970636614927,-0.347742656233
1000,0.4,0.12,-0.328656750346938,0.132239114695921,-0.594130509669426,-0.0638977019700469
900,0.45,0.12,-0.414199069410909,0.135550903593075,-0.68242884118827,-0.150371956565386
950,0.45,0.12,-0.516489906401327,0.134982360169041,-0.778666996155155,-0.249766036427474
1000,0.45,0.12,-0.389106356596738,0.131764094132974,-0.636893209264589,-0.132666425488252
900,0.5,0.12,-0.378538678251669,0.136836744124564,-0.636687079738145,-0.111674176371303
950,0.5,0.12,-0.516465761762713,0.132532199273999,-0.786670340787542,-0.254031592381273
1000,0.5,0.12,-0.525679401835366,0.132322513890714,-0.785062049697815,-0.265224412286806
900,0.4,0.13,-0.515598875656402,0.145149848417413,-0.802084022255596,-0.240133794372348
950,0.4,0.13,-0.5584979325383,0.145070865986043,-0.842577090650519,-0.270771244333019
1000,0.4,0.13,-0.530302339216394,0.137640694392229,-0.789545202434854,-0.260562250723408
900,0.45,0.13,-0.61130096409176,0.141557873862762,-0.895157595046829,-0.330233057216735
950,0.45,0.13,-0.477245165710257,0.136791465372222,-0.739254859412624,-0.208267910087444
1000,0.45,0.13,-0.461535322313444,0.130183753741573,-0.718366814721217,-0.204037605576066
900,0.5,0.13,-0.519851241997068,0.138231118249581,-0.793137247635644,-0.251330418618464
950,0.5,0.13,-0.718423643490404,0.135340691038838,-0.985231937128589,-0.448288502245717
1000,0.5,0.13,-0.685708716206345,0.125960291546706,-0.932504588132034,-0.445263710718415
900,0.4,0.14,-0.614855997048558,0.141106424159081,-0.887109846749834,-0.341585924190817
950,0.4,0.14,-0.632195826633992,0.143279562342314,-0.918403789907831,-0.352896898814726
1000,0.4,0.14,-0.705453013383374,0.138561983310161,-0.977233008537763,-0.43762040853009
900,0.45,0.14,-0.573725532198159,0.140281986504612,-0.84998626470335,-0.295392818010101
950,0.45,0.14,-0.604448504134772,0.137491500757455,-0.865347838493363,-0.334190211757276
1000,0.45,0.14,-0.519598304341686,0.134188600226014,-0.785628086684892,-0.25899712152369
900,0.5,0.14,-0.700883928294857,0.13774710404486,-0.972837102977105,-0.419847774063882
950,0.5,0.14,-0.447031420313086,0.132475246241526,-0.707678210089309,-0.191753249249237
1000,0.5,0.14,-0.52589565603407,0.128978434642115,-0.777062215338927,-0.269250477791013
900,0.4,0.15,-0.781140397072195,0.14415953413993,-1.06205489123149,-0.50130623723836
950,0.4,0.15,-0.944035199237096,0.141169661275117,-1.225577423814,-0.666005620035145
1000,0.4,0.15,-0.728489198360976,0.134658673747355,-0.996540590238945,-0.463391412443222
900,0.45,0.15,-0.704155368917539,0.138823697200627,-0.982952766799461,-0.434805423857872
950,0.45,0.15,-0.358794875267557,0.135756546631143,-0.624586859855739,-0.0878025950619995
1000,0.45,0.15,-0.800410499046518,0.135210308776943,-1.06231031331412,-0.537517371893291
900,0.5,0.15,-0.580796681468299,0.137416835631687,-0.846531595209847,-0.315059491166354
950,0.5,0.15,-0.705414898055133,0.133020901357668,-0.959149717505879,-0.443659171359766
1000,0.5,0.15,-0.898292627237304,0.130540184383888,-1.14966797603247,-0.644849124360931
